,Index,Concept,Question,Answer
0,73.0,Bab_al-Nasr_(Cairo),What Cultural Category does the object in the image belong to,Famous Landmarks
1,73.0,Bab_al-Nasr_(Cairo),Where exactly located,
2,73.0,Bab_al-Nasr_(Cairo),When established,
3,73.0,Bab_al-Nasr_(Cairo),Who built it,
4,73.0,Bab_al-Nasr_(Cairo),Which ruler commissioned,
5,73.0,Bab_al-Nasr_(Cairo),Which architectural style,
6,73.0,Bab_al-Nasr_(Cairo),What original name,
7,73.0,Bab_al-Nasr_(Cairo),What primary material,
8,73.0,Bab_al-Nasr_(Cairo),What purpose served,
9,74.0,Mortuary_Temple_of_Seti_I_in_Qurna,What Cultural Category does the object in the image belong to,Famous Landmarks
10,74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Where exactly located,
11,74.0,Mortuary_Temple_of_Seti_I_in_Qurna,When established,
12,74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Who built it,
13,74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Which ruler commissioned,
14,74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Which architectural style,
15,74.0,Mortuary_Temple_of_Seti_I_in_Qurna,What original name,
16,74.0,Mortuary_Temple_of_Seti_I_in_Qurna,What primary material,
17,74.0,Mortuary_Temple_of_Seti_I_in_Qurna,What purpose served,
18,75.0,Great_Pyramid_of_Giza,What Cultural Category does the object in the image belong to,Famous Landmarks
19,75.0,Great_Pyramid_of_Giza,Where exactly located,
20,75.0,Great_Pyramid_of_Giza,When established,
21,75.0,Great_Pyramid_of_Giza,Who built it,
22,75.0,Great_Pyramid_of_Giza,Which ruler commissioned,
23,75.0,Great_Pyramid_of_Giza,Which architectural style,
24,75.0,Great_Pyramid_of_Giza,What original name,
25,75.0,Great_Pyramid_of_Giza,What primary material,
26,75.0,Great_Pyramid_of_Giza,What purpose served,
27,76.0,Umm_Kulthum_Museum,What Cultural Category does the object in the image belong to,Historical Figures
28,76.0,Umm_Kulthum_Museum,Who is depicted,
29,76.0,Umm_Kulthum_Museum,Which role held,
30,76.0,Umm_Kulthum_Museum,Which era lived,
31,76.0,Umm_Kulthum_Museum,Which nationality,
32,76.0,Umm_Kulthum_Museum,What attire worn,
33,76.0,Umm_Kulthum_Museum,What expression shown,
34,76.0,Umm_Kulthum_Museum,What title inscribed,
35,76.0,Umm_Kulthum_Museum,Which headgear worn,
36,76.0,Umm_Kulthum_Museum,What symbolic object,
37,76.0,Umm_Kulthum_Museum,Which achievement noted,
38,77.0,Wadi_el-Raiyan,What Cultural Category does the object in the image belong to,Natural scenery and Ecosystem
39,77.0,Wadi_el-Raiyan,Which landscape type,
40,77.0,Wadi_el-Raiyan,Which biome present,
41,77.0,Wadi_el-Raiyan,Which region located,
42,77.0,Wadi_el-Raiyan,What season shown,
43,77.0,Wadi_el-Raiyan,Which water body,
44,77.0,Wadi_el-Raiyan,Which mountain range,
45,77.0,Wadi_el-Raiyan,What vegetation type,
46,77.0,Wadi_el-Raiyan,Which wildlife species,
47,77.0,Wadi_el-Raiyan,What protection status,
48,77.0,Wadi_el-Raiyan,Which ecological reserve,
49,78.0,Al-Shate'e_Mosque,What Cultural Category does the object in the image belong to,Religion and belief
50,78.0,Al-Shate'e_Mosque,Which religion represented,
51,78.0,Al-Shate'e_Mosque,Which deity worshipped,
52,78.0,Al-Shate'e_Mosque,What ritual performed,
53,78.0,Al-Shate'e_Mosque,Which ceremony type,
54,78.0,Al-Shate'e_Mosque,What offering present,
55,78.0,Al-Shate'e_Mosque,Which religious symbol,
56,78.0,Al-Shate'e_Mosque,What scripture shown,
57,78.0,Al-Shate'e_Mosque,Which holy place,
58,78.0,Al-Shate'e_Mosque,What architectural style,
59,78.0,Al-Shate'e_Mosque,Which festival shown,
60,79.0,Wadi_el_Gemal_National_Park,What Cultural Category does the object in the image belong to,Natural scenery and Ecosystem
61,79.0,Wadi_el_Gemal_National_Park,Which landscape type,
62,79.0,Wadi_el_Gemal_National_Park,Which biome present,
63,79.0,Wadi_el_Gemal_National_Park,Which region located,
64,79.0,Wadi_el_Gemal_National_Park,What season shown,
65,79.0,Wadi_el_Gemal_National_Park,Which water body,
66,79.0,Wadi_el_Gemal_National_Park,Which mountain range,
67,79.0,Wadi_el_Gemal_National_Park,What vegetation type,
68,79.0,Wadi_el_Gemal_National_Park,Which wildlife species,
69,79.0,Wadi_el_Gemal_National_Park,What protection status,
70,79.0,Wadi_el_Gemal_National_Park,Which ecological reserve,
71,80.0,Bayt_Al-Suhaymi,What Cultural Category does the object in the image belong to,Famous Landmarks
72,80.0,Bayt_Al-Suhaymi,Where exactly located,
73,80.0,Bayt_Al-Suhaymi,When established,
74,80.0,Bayt_Al-Suhaymi,Who built it,
75,80.0,Bayt_Al-Suhaymi,Which ruler commissioned,
76,80.0,Bayt_Al-Suhaymi,Which architectural style,
77,80.0,Bayt_Al-Suhaymi,What original name,
78,80.0,Bayt_Al-Suhaymi,What primary material,
79,80.0,Bayt_Al-Suhaymi,What purpose served,
80,81.0,Na'ama_Bay,What Cultural Category does the object in the image belong to,Famous Landmarks
81,81.0,Na'ama_Bay,Where exactly located,
82,81.0,Na'ama_Bay,When established,
83,81.0,Na'ama_Bay,Who built it,
84,81.0,Na'ama_Bay,Which ruler commissioned,
85,81.0,Na'ama_Bay,Which architectural style,
86,81.0,Na'ama_Bay,What original name,
87,81.0,Na'ama_Bay,What primary material,
88,81.0,Na'ama_Bay,What purpose served,
89,82.0,Elephantine,What Cultural Category does the object in the image belong to,Famous Landmarks
90,82.0,Elephantine,Where exactly located,
91,82.0,Elephantine,When established,
92,82.0,Elephantine,Who built it,
93,82.0,Elephantine,Which ruler commissioned,
94,82.0,Elephantine,Which architectural style,
95,82.0,Elephantine,What original name,
96,82.0,Elephantine,What primary material,
97,82.0,Elephantine,What purpose served,
98,83.0,Siwa,What Cultural Category does the object in the image belong to,Famous Landmarks
99,83.0,Siwa,Where exactly located,
100,83.0,Siwa,When established,
101,83.0,Siwa,Who built it,
102,83.0,Siwa,Which ruler commissioned,
103,83.0,Siwa,Which architectural style,
104,83.0,Siwa,What original name,
105,83.0,Siwa,What primary material,
106,83.0,Siwa,What purpose served,
107,84.0,Colossi_of_Memnon,What Cultural Category does the object in the image belong to,Famous Landmarks
108,84.0,Colossi_of_Memnon,Where exactly located,
109,84.0,Colossi_of_Memnon,When established,
110,84.0,Colossi_of_Memnon,Who built it,
111,84.0,Colossi_of_Memnon,Which ruler commissioned,
112,84.0,Colossi_of_Memnon,Which architectural style,
113,84.0,Colossi_of_Memnon,What original name,
114,84.0,Colossi_of_Memnon,What primary material,
115,84.0,Colossi_of_Memnon,What purpose served,
116,85.0,Pyramid_of_Unas,What Cultural Category does the object in the image belong to,Famous Landmarks
117,85.0,Pyramid_of_Unas,Where exactly located,
118,85.0,Pyramid_of_Unas,When established,
119,85.0,Pyramid_of_Unas,Who built it,
120,85.0,Pyramid_of_Unas,Which ruler commissioned,
121,85.0,Pyramid_of_Unas,Which architectural style,
122,85.0,Pyramid_of_Unas,What original name,
123,85.0,Pyramid_of_Unas,What primary material,
124,85.0,Pyramid_of_Unas,What purpose served,
125,86.0,Cairo_Citadel,What Cultural Category does the object in the image belong to,Famous Landmarks
126,86.0,Cairo_Citadel,Where exactly located,
127,86.0,Cairo_Citadel,When established,
128,86.0,Cairo_Citadel,Who built it,
129,86.0,Cairo_Citadel,Which ruler commissioned,
130,86.0,Cairo_Citadel,Which architectural style,
131,86.0,Cairo_Citadel,What original name,
132,86.0,Cairo_Citadel,What primary material,
133,86.0,Cairo_Citadel,What purpose served,
134,87.0,Mastabat_al-Fir'aun,What Cultural Category does the object in the image belong to,Famous Landmarks
135,87.0,Mastabat_al-Fir'aun,Where exactly located,
136,87.0,Mastabat_al-Fir'aun,When established,
137,87.0,Mastabat_al-Fir'aun,Who built it,
138,87.0,Mastabat_al-Fir'aun,Which ruler commissioned,
139,87.0,Mastabat_al-Fir'aun,Which architectural style,
140,87.0,Mastabat_al-Fir'aun,What original name,
141,87.0,Mastabat_al-Fir'aun,What primary material,
142,87.0,Mastabat_al-Fir'aun,What purpose served,
143,88.0,Great_Hypostyle_Hall_of_Karnak,What Cultural Category does the object in the image belong to,Famous Landmarks
144,88.0,Great_Hypostyle_Hall_of_Karnak,Where exactly located,
145,88.0,Great_Hypostyle_Hall_of_Karnak,When established,
146,88.0,Great_Hypostyle_Hall_of_Karnak,Who built it,
147,88.0,Great_Hypostyle_Hall_of_Karnak,Which ruler commissioned,
148,88.0,Great_Hypostyle_Hall_of_Karnak,Which architectural style,
149,88.0,Great_Hypostyle_Hall_of_Karnak,What original name,
150,88.0,Great_Hypostyle_Hall_of_Karnak,What primary material,
151,88.0,Great_Hypostyle_Hall_of_Karnak,What purpose served,
152,89.0,Wadi_Degla,What Cultural Category does the object in the image belong to,Famous Landmarks
153,89.0,Wadi_Degla,Where exactly located,
154,89.0,Wadi_Degla,When established,
155,89.0,Wadi_Degla,Who built it,
156,89.0,Wadi_Degla,Which ruler commissioned,
157,89.0,Wadi_Degla,Which architectural style,
158,89.0,Wadi_Degla,What original name,
159,89.0,Wadi_Degla,What primary material,
160,89.0,Wadi_Degla,What purpose served,
161,90.0,Abu_Haggag_Mosque,What Cultural Category does the object in the image belong to,Famous Landmarks
162,90.0,Abu_Haggag_Mosque,Where exactly located,
163,90.0,Abu_Haggag_Mosque,When established,
164,90.0,Abu_Haggag_Mosque,Who built it,
165,90.0,Abu_Haggag_Mosque,Which ruler commissioned,
166,90.0,Abu_Haggag_Mosque,Which architectural style,
167,90.0,Abu_Haggag_Mosque,What original name,
168,90.0,Abu_Haggag_Mosque,What primary material,
169,90.0,Abu_Haggag_Mosque,What purpose served,
170,91.0,Gayer-Anderson_Museum,What Cultural Category does the object in the image belong to,Historical Artifacts
171,91.0,Gayer-Anderson_Museum,What object type,
172,91.0,Gayer-Anderson_Museum,Which era dates,
173,91.0,Gayer-Anderson_Museum,Which civilization made,
174,91.0,Gayer-Anderson_Museum,What material crafted,
175,91.0,Gayer-Anderson_Museum,Which purpose served,
176,91.0,Gayer-Anderson_Museum,What inscription reads,
177,91.0,Gayer-Anderson_Museum,What decorative motif,
178,91.0,Gayer-Anderson_Museum,Which museum houses,
179,91.0,Gayer-Anderson_Museum,When discovered,
180,91.0,Gayer-Anderson_Museum,What condition status,
181,92.0,Bab_Zuwayla,What Cultural Category does the object in the image belong to,Famous Landmarks
182,92.0,Bab_Zuwayla,Where exactly located,
183,92.0,Bab_Zuwayla,When established,
184,92.0,Bab_Zuwayla,Who built it,
185,92.0,Bab_Zuwayla,Which ruler commissioned,
186,92.0,Bab_Zuwayla,Which architectural style,
187,92.0,Bab_Zuwayla,What original name,
188,92.0,Bab_Zuwayla,What primary material,
189,92.0,Bab_Zuwayla,What purpose served,
190,93.0,Bagawat,What Cultural Category does the object in the image belong to,NaN
191,94.0,Temple_of_Seti_I_in_Abydos,What Cultural Category does the object in the image belong to,Famous Landmarks
192,94.0,Temple_of_Seti_I_in_Abydos,Where exactly located,
193,94.0,Temple_of_Seti_I_in_Abydos,When established,
194,94.0,Temple_of_Seti_I_in_Abydos,Who built it,
195,94.0,Temple_of_Seti_I_in_Abydos,Which ruler commissioned,
196,94.0,Temple_of_Seti_I_in_Abydos,Which architectural style,
197,94.0,Temple_of_Seti_I_in_Abydos,What original name,
198,94.0,Temple_of_Seti_I_in_Abydos,What primary material,
199,94.0,Temple_of_Seti_I_in_Abydos,What purpose served,
200,95.0,Sehel_Island,What Cultural Category does the object in the image belong to,Famous Landmarks
201,95.0,Sehel_Island,Where exactly located,
202,95.0,Sehel_Island,When established,
203,95.0,Sehel_Island,Who built it,
204,95.0,Sehel_Island,Which ruler commissioned,
205,95.0,Sehel_Island,Which architectural style,
206,95.0,Sehel_Island,What original name,
207,95.0,Sehel_Island,What primary material,
208,95.0,Sehel_Island,What purpose served,
209,96.0,Karnak_precinct_of_Amun-Ra,What Cultural Category does the object in the image belong to,Famous Landmarks
210,96.0,Karnak_precinct_of_Amun-Ra,Where exactly located,
211,96.0,Karnak_precinct_of_Amun-Ra,When established,
212,96.0,Karnak_precinct_of_Amun-Ra,Who built it,
213,96.0,Karnak_precinct_of_Amun-Ra,Which ruler commissioned,
214,96.0,Karnak_precinct_of_Amun-Ra,Which architectural style,
215,96.0,Karnak_precinct_of_Amun-Ra,What original name,
216,96.0,Karnak_precinct_of_Amun-Ra,What primary material,
217,96.0,Karnak_precinct_of_Amun-Ra,What purpose served,
218,97.0,Pyramid_of_Djoser,What Cultural Category does the object in the image belong to,Famous Landmarks
219,97.0,Pyramid_of_Djoser,Where exactly located,
220,97.0,Pyramid_of_Djoser,When established,
221,97.0,Pyramid_of_Djoser,Who built it,
222,97.0,Pyramid_of_Djoser,Which ruler commissioned,
223,97.0,Pyramid_of_Djoser,Which architectural style,
224,97.0,Pyramid_of_Djoser,What original name,
225,97.0,Pyramid_of_Djoser,What primary material,
226,97.0,Pyramid_of_Djoser,What purpose served,
227,98.0,Pyramid_of_Djedefra,What Cultural Category does the object in the image belong to,Famous Landmarks
228,98.0,Pyramid_of_Djedefra,Where exactly located,
229,98.0,Pyramid_of_Djedefra,When established,
230,98.0,Pyramid_of_Djedefra,Who built it,
231,98.0,Pyramid_of_Djedefra,Which ruler commissioned,
232,98.0,Pyramid_of_Djedefra,Which architectural style,
233,98.0,Pyramid_of_Djedefra,What original name,
234,98.0,Pyramid_of_Djedefra,What primary material,
235,98.0,Pyramid_of_Djedefra,What purpose served,
236,99.0,KV17,What Cultural Category does the object in the image belong to,Famous Landmarks
237,99.0,KV17,Where exactly located,
238,99.0,KV17,When established,
239,99.0,KV17,Who built it,
240,99.0,KV17,Which ruler commissioned,
241,99.0,KV17,Which architectural style,
242,99.0,KV17,What original name,
243,99.0,KV17,What primary material,
244,99.0,KV17,What purpose served,
245,100.0,Al-Ashraf_Mosque,What Cultural Category does the object in the image belong to,Famous Landmarks
246,100.0,Al-Ashraf_Mosque,Where exactly located,
247,100.0,Al-Ashraf_Mosque,When established,
248,100.0,Al-Ashraf_Mosque,Who built it,
249,100.0,Al-Ashraf_Mosque,Which ruler commissioned,
250,100.0,Al-Ashraf_Mosque,Which architectural style,
251,100.0,Al-Ashraf_Mosque,What original name,
252,100.0,Al-Ashraf_Mosque,What primary material,
253,100.0,Al-Ashraf_Mosque,What purpose served,
254,101.0,Temple_of_Kom_Ombo,What Cultural Category does the object in the image belong to,Famous Landmarks
255,101.0,Temple_of_Kom_Ombo,Where exactly located,
256,101.0,Temple_of_Kom_Ombo,When established,
257,101.0,Temple_of_Kom_Ombo,Who built it,
258,101.0,Temple_of_Kom_Ombo,Which ruler commissioned,
259,101.0,Temple_of_Kom_Ombo,Which architectural style,
260,101.0,Temple_of_Kom_Ombo,What original name,
261,101.0,Temple_of_Kom_Ombo,What primary material,
262,101.0,Temple_of_Kom_Ombo,What purpose served,
263,102.0,City_of_the_dead_(Cairo),What Cultural Category does the object in the image belong to,Famous Landmarks
264,102.0,City_of_the_dead_(Cairo),Where exactly located,
265,102.0,City_of_the_dead_(Cairo),When established,
266,102.0,City_of_the_dead_(Cairo),Who built it,
267,102.0,City_of_the_dead_(Cairo),Which ruler commissioned,
268,102.0,City_of_the_dead_(Cairo),Which architectural style,
269,102.0,City_of_the_dead_(Cairo),What original name,
270,102.0,City_of_the_dead_(Cairo),What primary material,
271,102.0,City_of_the_dead_(Cairo),What purpose served,
