,Index,Concept,Category,Question,Answer
0,73,Bab_al-Nasr_(Cairo),Famous Landmarks,Is this in Cairo?,"Yes, Cairo."
1,73,Bab_al-Nasr_(Cairo),Famous Landmarks,What structure is this?,Gate of Victory
2,73,Bab_al-Nasr_(Cairo),Famous Landmarks,Is this a gate?,"Yes, gate."
3,73,Bab_al-Nasr_(Cairo),Famous Landmarks,What year was it built?,1087 AD
4,73,Bab_al-Nasr_(Cairo),Famous Landmarks,Who built this gate?,Badr al-Jamali
5,73,Bab_al-Nasr_(Cairo),Famous Landmarks,Is this still standing?,No answer generated
6,73,Bab_al-Nasr_(Cairo),Famous Landmarks,Is it well-preserved?,Undergone restoration
7,73,Bab_al-Nasr_(Cairo),Famous Landmarks,What style is it?,Fatimid military architecture
8,73,Bab_al-Nasr_(Cairo),Famous Landmarks,Is this part of a World Heritage Site?,"Yes, Historic Cairo"
9,73,Bab_al-Nasr_(Cairo),Famous Landmarks,What is on the walls?,Kufic inscriptions.
10,73,Bab_al-Nasr_(Cairo),Famous Landmarks,Are there towers?,"Yes, semi-circular"
11,73,Bab_al-Nasr_(Cairo),Famous Landmarks,What kind of towers?,Semi-circular towers.
12,73,Bab_al-Nasr_(Cairo),Famous Landmarks,What script is visible?,Kufic inscriptions
13,73,Bab_al-Nasr_(Cairo),Famous Landmarks,What city did it protect?,"Cairo, Egypt"
14,73,Bab_al-Nasr_(Cairo),Famous Landmarks,Is it a tourist attraction?,"Yes, popular."
15,73,Bab_al-Nasr_(Cairo),Famous Landmarks,Was it built by Badr?,"Yes, Badr."
16,73,Bab_al-Nasr_(Cairo),Famous Landmarks,Is it in northern Cairo?,Yes.
17,73,Bab_al-Nasr_(Cairo),Famous Landmarks,What material is it made of?,Stone structure
18,73,Bab_al-Nasr_(Cairo),Famous Landmarks,Are shields present?,"Yes, shields present."
19,73,Bab_al-Nasr_(Cairo),Famous Landmarks,What is the gate's name?,Gate of Victory
20,73,Bab_al-Nasr_(Cairo),Famous Landmarks,Is restoration ongoing?,"No, Restoration Preserved."
21,73,Bab_al-Nasr_(Cairo),Famous Landmarks,Is it historically significant?,"Yes, historically significant."
22,73,Bab_al-Nasr_(Cairo),Famous Landmarks,Is it military architecture?,"Yes, Fatimid military"
23,73,Bab_al-Nasr_(Cairo),Famous Landmarks,Are inscriptions visible?,"Yes, Kufic."
24,73,Bab_al-Nasr_(Cairo),Famous Landmarks,Is it an entrance?,"Yes, entrance gate"
25,73,Bab_al-Nasr_(Cairo),Famous Landmarks,Is it imposing?,"Yes, massive."
26,73,Bab_al-Nasr_(Cairo),Famous Landmarks,Is it Fatimid architecture?,"Yes, Fatimid."
27,73,Bab_al-Nasr_(Cairo),Famous Landmarks,Is it a landmark?,"Yes, landmark."
28,73,Bab_al-Nasr_(Cairo),Famous Landmarks,Was it for defense?,"Yes, defense."
29,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,What pharaoh built this?,Seti I.
30,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,Where is this temple?,"Qurna, West Bank"
31,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,What is its purpose?,Memorial temple.
32,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,What dynasty is it from?,19th Dynasty
33,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,Who likely finished it?,Ramesses II
34,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,Are reliefs well-preserved?,"Partially, yes."
35,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,What bank is it on?,West Bank
36,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,Is it still intact?,Partially damaged.
37,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,Was it once a church?,"Yes, Coptic church"
38,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,Is artwork quality high?,"Yes, high."
39,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,What kingdom is it from?,New Kingdom
40,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,Is it often overlooked?,Often overlooked.
41,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,What is another name?,Temple of Qurna
42,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,Who was it for?,Seti I
43,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,Is this in Luxor?,West Bank.
44,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,Is it a memorial temple?,"Yes, it is."
45,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,Does it have pylons?,"Yes, it does."
46,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,Is it a hypostyle hall?,"Yes, it has."
47,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,What's on the West Bank?,Thebes (Luxor)
48,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,What's across from Luxor?,West Bank
49,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,Was it used for shelter?,"Yes, used shelter."
50,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,Is it in Thebes?,West Bank.
51,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,Does it have chapels?,"Yes, it does."
52,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,Is it in Qurna?,"Yes, in Qurna"
53,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,Is this New Kingdom?,"Yes, New Kingdom"
54,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,Does it have courtyards?,"Yes, courtyards."
55,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,Is this temple ancient?,"Yes, ancient."
56,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,Is this well-preserved?,Partially preserved.
57,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,Was it built by Seti?,"Yes, initially."
58,74,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks,Who succeeded Seti I?,Ramesses II
59,75,Great_Pyramid_of_Giza,Famous Landmarks,What is this a picture of?,Khufu's tomb
60,75,Great_Pyramid_of_Giza,Famous Landmarks,Where is this located?,Giza Necropolis
61,75,Great_Pyramid_of_Giza,Famous Landmarks,Who was it built for?,Pharaoh Khufu
62,75,Great_Pyramid_of_Giza,Famous Landmarks,What is its main purpose?,Pharaoh's Tomb
63,75,Great_Pyramid_of_Giza,Famous Landmarks,What is it made of?,Stone blocks.
64,75,Great_Pyramid_of_Giza,Famous Landmarks,How many blocks were used?,2.3 million
65,75,Great_Pyramid_of_Giza,Famous Landmarks,Is it a wonder?,"Yes, ancient wonder."
66,75,Great_Pyramid_of_Giza,Famous Landmarks,What era is it from?,Old Kingdom.
67,75,Great_Pyramid_of_Giza,Famous Landmarks,Is it in Cairo?,Near Cairo.
68,75,Great_Pyramid_of_Giza,Famous Landmarks,How tall is it now?,138.8 meters
69,75,Great_Pyramid_of_Giza,Famous Landmarks,Is it still standing?,"Yes, standing."
70,75,Great_Pyramid_of_Giza,Famous Landmarks,What is inside?,"Chambers, Passages"
71,75,Great_Pyramid_of_Giza,Famous Landmarks,Was it built by slaves?,Skilled laborers.
72,75,Great_Pyramid_of_Giza,Famous Landmarks,Is it very old?,"Yes, very."
73,75,Great_Pyramid_of_Giza,Famous Landmarks,Is it world heritage?,"Yes, UNESCO."
74,75,Great_Pyramid_of_Giza,Famous Landmarks,Is this in Africa?,"Yes, Egypt."
75,75,Great_Pyramid_of_Giza,Famous Landmarks,What shape is it?,Pyramid shape
76,75,Great_Pyramid_of_Giza,Famous Landmarks,What is its location called?,Giza Necropolis
77,75,Great_Pyramid_of_Giza,Famous Landmarks,Are there other pyramids nearby?,"Yes, subsidiary pyramids."
78,75,Great_Pyramid_of_Giza,Famous Landmarks,Is it well-preserved?,"Somewhat, Eroded."
79,76,Umm_Kulthum_Museum,Historical Figures,What city is the museum in?,"Cairo, Egypt."
80,76,Umm_Kulthum_Museum,Historical Figures,Who is the museum about?,Umm Kulthum
81,76,Umm_Kulthum_Museum,Historical Figures,What island is it on?,Roda Island
82,76,Umm_Kulthum_Museum,Historical Figures,What kind of dresses are displayed?,Stage costumes.
83,76,Umm_Kulthum_Museum,Historical Figures,What type of musical instrument is there?,Oud
84,76,Umm_Kulthum_Museum,Historical Figures,What palace is it part of?,Manesterly Palace
85,76,Umm_Kulthum_Museum,Historical Figures,What is the purpose of the museum?,Showcase Umm Kulthum.
86,76,Umm_Kulthum_Museum,Historical Figures,What do they showcase?,Her possessions.
87,76,Umm_Kulthum_Museum,Historical Figures,What kind of recordings are there?,"Concerts, interviews"
88,76,Umm_Kulthum_Museum,Historical Figures,Are fees required?,"Yes, apply."
89,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,What country is this in?,Egypt.
90,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,Are there lakes here?,"Yes, two."
91,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,What are the dunes made of?,Sand dunes.
92,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,Is this a protected area?,Nature Reserve
93,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,What connects the lakes?,Waterfalls.
94,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,Are there birds present?,Migratory birds.
95,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,What kind of reserve is this?,Nature reserve
