Index,Concept,Question,Answer,Photo,photo_path
73.0,Bab_al-Nasr_(Cairo),Is this in Cairo?,"Yes, Cairo.",,/downloaded_images/img_0.jpg
73.0,Bab_al-Nasr_(Cairo),What structure is this?,Gate of Victory,,/downloaded_images/img_1.jpg
73.0,Bab_al-Nasr_(Cairo),Is this a gate?,"Yes, gate.",,/downloaded_images/img_2.jpg
73.0,Bab_al-Nasr_(Cairo),What year was it built?,1087 AD,,/downloaded_images/img_3.jpg
73.0,Bab_al-Nasr_(Cairo),Who built this gate?,Badr al-Jamali,,/downloaded_images/img_4.jpg
73.0,Bab_al-Nasr_(Cairo),Is this still standing?,No answer generated,,/downloaded_images/img_5.jpg
73.0,Bab_al-Nasr_(Cairo),Is it well-preserved?,Undergone restoration,,/downloaded_images/img_6.jpg
73.0,Bab_al-Nasr_(Cairo),What style is it?,Fatimid military architecture,,/downloaded_images/img_7.jpg
73.0,Bab_al-Nasr_(Cairo),Is this part of a World Heritage Site?,"Yes, Historic Cairo",,/downloaded_images/img_8.jpg
73.0,Bab_al-Nasr_(Cairo),What is on the walls?,Kufic inscriptions.,,/downloaded_images/img_9.jpg
73.0,Bab_al-Nasr_(Cairo),Are there towers?,"Yes, semi-circular",,/downloaded_images/img_10.jpg
73.0,Bab_al-Nasr_(Cairo),What kind of towers?,Semi-circular towers.,,/downloaded_images/img_11.jpg
73.0,Bab_al-Nasr_(Cairo),What script is visible?,Kufic inscriptions,,/downloaded_images/img_12.jpg
73.0,Bab_al-Nasr_(Cairo),What city did it protect?,"Cairo, Egypt",,/downloaded_images/img_13.jpg
73.0,Bab_al-Nasr_(Cairo),Is it a tourist attraction?,"Yes, popular.",,/downloaded_images/img_14.jpg
73.0,Bab_al-Nasr_(Cairo),Was it built by Badr?,"Yes, Badr.",,/downloaded_images/img_15.jpg
73.0,Bab_al-Nasr_(Cairo),Is it in northern Cairo?,Yes.,,/downloaded_images/img_16.jpg
73.0,Bab_al-Nasr_(Cairo),What material is it made of?,Stone structure,,/downloaded_images/img_17.jpg
73.0,Bab_al-Nasr_(Cairo),Are shields present?,"Yes, shields present.",,/downloaded_images/img_18.jpg
73.0,Bab_al-Nasr_(Cairo),What is the gate's name?,Gate of Victory,,/downloaded_images/img_19.jpg
73.0,Bab_al-Nasr_(Cairo),Is restoration ongoing?,"No, Restoration Preserved.",,/downloaded_images/img_0.jpg
73.0,Bab_al-Nasr_(Cairo),Is it historically significant?,"Yes, historically significant.",,/downloaded_images/img_1.jpg
73.0,Bab_al-Nasr_(Cairo),Is it military architecture?,"Yes, Fatimid military",,/downloaded_images/img_2.jpg
